SampleID,SiteID,RepID,Treatment,Date,Subsample,Experimenter,Date.start,Date.end,Crucible.location,Mass.dry.crucible.g,Mass.wet.soil,Mass.105C.overnight,Mass.4hr.550C,Mass.2hr.1000C,Notes,Mass.Moisture,Mass.SOM,Mass.Carbonate,,per.moisture,per.SOM,per.InorgC,per.totC
94,SR,B,Live Rhizosphere,5/2024,2,SF/RA,7/30/24,8/1/24,D-1,15.1934,10.0152,24.7388,24.2949,24.2251,,0.4698,0.4439,0.0698,,4.691,4.432,0.697,5.129
95,SR,C,Live Rhizosphere,5/2024,1,SF/RA,7/30/24,8/1/24,D-2,14.4878,10.1042,24.1856,23.5566,23.49,,0.4064,0.629,0.0666,,4.022,6.225,0.659,6.884
96,SR,C,Live Rhizosphere,5/2024,2,SF/RA,7/30/24,8/1/24,D-3,16.2969,10.0049,25.9041,25.2908,25.2239,,0.3977,0.6133,0.0669,,3.975,6.130,0.669,6.799
97,TI,A,Interspace,5/2024,1,SF/RA,8/16/24,8/30/24,A-1,15.9037,10.0148,25.79,25.6369,25.6071,Used weights from reweigh (blue post-it) before first furnace round,0.1285,0.1531,0.0298,,1.283,1.529,0.298,1.826
98,TI,A,Interspace,5/2024,2,SF/RA,8/16/24,8/30/24,A-2,16.3759,10.0736,26.3194,26.1668,26.1354,Used weights from reweigh (blue post-it) before first furnace round,0.1301,0.1526,0.0314,,1.291,1.515,0.312,1.827
99,TI,B,Interspace,5/2024,1,SF/RA,8/16/24,8/30/24,A-3,15.4559,10.0047,25.3558,25.1743,25.1395,Used weights from reweigh (blue post-it) before first furnace round,0.1048,0.1815,0.0348,,1.048,1.814,0.348,2.162
100,TI,B,Interspace,5/2024,2,SF/RA,8/16/24,8/30/24,B-1,16.0569,10.0234,25.9737,25.7895,25.7548,Used weights from reweigh (blue post-it) before first furnace round,0.1066,0.1842,0.0347,,1.064,1.838,0.346,2.184
101,TI,C,Interspace,5/2024,1,SF/RA,8/16/24,8/30/24,B-2,15.1935,10.0092,25.0646,24.8385,24.8124,Used weights from reweigh (blue post-it) before first furnace round,0.1381,0.2261,0.0261,,1.380,2.259,0.261,2.520
102,TI,C,Interspace,5/2024,2,SF/RA,8/16/24,8/30/24,B-3,14.4876,10.0629,24.4119,24.1863,24.1603,Used weights from reweigh (blue post-it) before first furnace round,0.1386,0.2256,0.026,,1.377,2.242,0.258,2.500
103,TI,A,Live Rhizosphere,5/2024,1,SF/RA,8/16/24,8/30/24,C-1,15.6514,10.0446,25.4793,25.1686,25.1254,Used weights from reweigh (blue post-it) before first furnace round,0.2167,0.3107,0.0432,,2.157,3.093,0.430,3.523
104,TI,A,Live Rhizosphere,5/2024,1,SF/RA,8/16/24,8/30/24,C-2,15.4851,10.0116,25.2806,24.9667,24.9211,Used weights from reweigh (blue post-it) before first furnace round,0.2161,0.3139,0.0456,,2.158,3.135,0.455,3.591
105,TI,B,Live Rhizosphere,5/2024,1,SF/RA,8/16/24,8/30/24,C-3,16.9015,10.0601,26.7033,26.2776,26.2319,Used weights from reweigh (blue post-it) before first furnace round,0.2583,0.4257,0.0457,,2.568,4.232,0.454,4.686
106,TI,B,Live Rhizosphere,5/2024,1,SF/RA,8/16/24,8/30/24,D-1,16.5628,10.0352,26.356,25.9919,25.9416,Used weights from reweigh (blue post-it) before first furnace round,0.242,0.3641,0.0503,,2.412,3.628,0.501,4.129
107,TI,C,Live Rhizosphere,5/2024,1,SF/RA,8/16/24,8/30/24,D-2,14.6198,10.0222,24.4477,24.1561,24.1026,Used weights from reweigh (blue post-it) before first furnace round,0.1943,0.2916,0.0535,,1.939,2.910,0.534,3.443
108,TI,C,Live Rhizosphere,5/2024,1,SF/RA,8/16/24,8/30/24,D-3,16.2957,10.0112,26.11,25.8096,25.7498,Used weights from reweigh (blue post-it) before first furnace round,0.1969,0.3004,0.0598,,1.967,3.001,0.597,3.598
109,OH,A,Interspace,5/2024,1,SF,10/1/24,10/4/14,A-1,16.2957,10.0482,25.8043,25.1216,25.081,,0.5396,0.6827,0.0406,,5.370,6.794,0.404,7.198
110,OH,A,Interspace,5/2024,2,SF,10/1/24,10/4/14,A-2,15.1927,10.0857,24.7334,24.0154,23.9729,,0.545,0.718,0.0425,,5.404,7.119,0.421,7.540
111,OH,B,Interspace,5/2024,1,SF/RA,8/12/24,8/14/24,A-3,15.6511,10.0899,25.3148,24.7373,24.6862,,0.4262,0.5775,0.0511,,4.224,5.724,0.506,6.230
112,OH,B,Interspace,5/2024,2,SF/RA,8/12/24,8/14/24,B-1,15.1928,10.0394,24.8045,24.2333,24.1837,,0.4277,0.5712,0.0496,,4.260,5.690,0.494,6.184
113,OH,C,Interspace,5/2024,1,SF/RA,8/12/24,8/14/24,B-2,14.6196,10.009,24.1887,23.2984,23.2445,,0.4399,0.8903,0.0539,,4.395,8.895,0.539,9.434
114,OH,C,Interspace,5/2024,2,SF/RA,8/12/24,8/14/24,B-3,15.9038,10.0356,25.5183,24.6474,24.5977,,0.4211,0.8709,0.0497,,4.196,8.678,0.495,9.173
115,OH,A,Live Rhizosphere,5/2024,1,SF/RA,8/12/24,8/14/24,C-1,16.0571,10.0731,25.4142,24.601,24.5508,,0.716,0.8132,0.0502,,7.108,8.073,0.498,8.571
116,OH,A,Live Rhizosphere,5/2024,2,SF/RA,8/12/24,8/14/24,C-2,15.4846,10.0666,24.8507,24.0539,24.0051,,0.7005,0.7968,0.0488,,6.959,7.915,0.485,8.400
117,OH,B,Live Rhizosphere,5/2024,1,SF/RA,8/12/24,8/14/24,C-3,16.5628,10.0891,25.6608,24.9522,24.9025,,0.9911,0.7086,0.0497,,9.823,7.023,0.493,7.516
118,OH,B,Live Rhizosphere,5/2024,2,SF/RA,8/12/24,8/14/24,D-1,16.3766,10.0675,25.4444,24.7329,24.6798,,0.9997,0.7115,0.0531,,9.930,7.067,0.527,7.595
119,OH,C,Live Rhizosphere,5/2024,1,SF/RA,8/12/24,8/14/24,D-2,15.4564,10.0387,24.5092,23.6933,23.6366,,0.9859,0.8159,0.0567,,9.821,8.128,0.565,8.692
120,OH,C,Live Rhizosphere,5/2024,2,SF/RA,8/12/24,8/14/24,D-3,16.2953,10.0101,25.2682,24.4448,24.3895,,1.0372,0.8234,0.0553,,10.362,8.226,0.552,8.778
,HR,A,Interspace,5/2024,3,SF,10/1/24,10/4/14,D-2,15.6514,10.042,23.4255,22.7926,22.7354,,2.2679,0.6329,0.0572,,22.584,6.303,0.570,6.872
,HR,B,Interspace,5/2024,3,SF,10/1/24,10/4/14,D-3,16.0572,10.0885,23.6133,22.8934,22.8376,,2.5324,0.7199,0.0558,,25.102,7.136,0.553,7.689
,HR,A,Live Rhizosphere,5/2024,3,SF,10/1/24,10/4/14,C-2,14.6199,10.0032,22.6387,21.9969,21.9503,,1.9844,0.6418,0.0466,,19.838,6.416,0.466,6.882
,HR,B,Live Rhizosphere,5/2024,3,SF,10/1/24,10/4/14,C-3,15.4854,10.0155,23.2901,22.5599,22.5155,,2.2108,0.7302,0.0444,,22.074,7.291,0.443,7.734
,HR,C,Live Rhizosphere,5/2024,3,SF,10/1/24,10/4/14,D-1,15.4562,10.0579,23.3418,22.6772,22.6219,,2.1723,0.6646,0.0553,,21.598,6.608,0.550,7.158
