ConeID,Soil ID,Replicate,Rhizo-Int,Treatment,SpeciesID,SeedID
214,OH,C,RHIZO,Dead,BRTE,WIL
215,BB,B-C,RHIZO,Dead,ARTR,BB
216,SR,C,RHIZO,Live,BRTE,USGS
217,NG,B,RHIZO,Live,BRTE,WIL
218,HG,C,RHIZO,Live,ARTR,HG
219,BB,C,RHIZO,Live,BRTE,WIL
220,NG,B,INT,Dead,BRTE,WIL
221,NG,B-C,RHIZO,Live,ARTR,NG
222,HG,A,INT,Live,BRTE,WIL
223,SR,B,RHIZO,Live,BRTE,WIL
224,NG,A-B,RHIZO,Live,BRTE,USGS
225,OH,A-B,RHIZO,Dead,BRTE,USGS
226,HG,A,INT,Dead,BRTE,USGS
227,OH,A-B,RHIZO,Dead,ARTR,OH
228,HG,B,INT,Live,BRTE,USGS
229,NG,C,RHIZO,Live,BRTE,USGS
230,NG,A,INT,Live,BRTE,USGS
231,SR,B,RHIZO,Dead,BRTE,WIL
232,OH,A,RHIZO,Dead,BRTE,WIL
233,SR,B,INT,Dead,BRTE,USGS
234,SR,B-C,RHIZO,Live,BRTE,USGS
235,HG,C,RHIZO,Live,BRTE,WIL
236,HG,A-B,RHIZO,Live,BRTE,WIL
237,NG,A,RHIZO,Dead,BRTE,USGS
238,OH,B-C,RHIZO,Live,BRTE,WIL
239,SR,C,INT,Dead,BRTE,WIL
240,SR,A-B,RHIZO,Dead,BRTE,USGS
