ConeID,SeedID,SoilID,Replicate,Treatment,PopID,Rhizo.Int,Sample Type (AB= aboveground),Envelope Dry Mass (milligrams),Observer and date,Envelope with dry biomass (mg),Observer and date,dry.mass
101,USGS,HG,B-C,Dead,HG,RHIZO,AB,1.0907,HL 9/8,1.1846,LD 9/30,0.0939
103,WIL,SR,A-B,Dead,SR,RHIZO,AB,1.0752,HL 9/8,1.1894,LD 9/30,0.1142
105,WIL,NG,B-C,Dead,NG,RHIZO,AB,1.0575,HL 9/8,1.1512,LD 9/30,0.0937
106,WIL,SR,A-B,Live,SR,RHIZO,AB,1.075,HL 9/8,1.1654,LD 9/30,0.0904
108,WIL,SR,B-C,Dead,SR,RHIZO,AB,1.0504,HL 9/8,1.1852,LD 9/30,0.1348
109,USGS,HG,B,Live,HG,RHIZO,AB,1.0608,HL 9/8,1.2142,LD 9/30,0.1534
110,USGS,NG,B,Live,NG,RHIZO,AB,1.0727,HL 9/8,1.2703,LD 9/30,0.1976
111,WIL,NG,A-B,Dead,NG,RHIZO,AB,1.0564,HL 9/10,1.1882,LD 9/30,0.1318
113,WIL,SR,B-C,Live,SR,RHIZO,AB,1.0959,HL 9/8,1.2663,LD 9/30,0.1704
114,WIL,OH,B,Live,OH,INT,AB,1.0781,HL 9/10,1.1385,LD 9/30,0.0604
115,WIL,OH,C,Live,OH,INT,AB,1.0654,HL 9/10,1.2213,LD 9/26,0.1559
116,USGS,NG,B-C,Dead,NG,RHIZO,AB,1.0864,HL 9/10,1.2443,LD 9/26,0.1579
117,WIL,OH,A,Live,OH,INT,AB,1.0754,HL 9/10,1.2041,LD 9/26,0.1287
118,WIL,OH,A,Live,OH,RHIZO,AB,1.0981,HL 9/8,1.2074,LD 9/26,0.1093
119,USGS,BB,C,Live,BB,RHIZO,AB,1.056,HL 9/8,1.0748,LD 9/30,0.0188
121,WIL,BB,B-C,Live,BB,RHIZO,AB,1.0846,HL 9/8,1.1871,LD 9/26,0.1025
124,USGS,HG,A-B,Dead,HG,RHIZO,AB,1.098,HL 9/10,1.3011,LD 9/26,0.2031
125,WIL,HG,A,Dead,HG,INT,AB,1.1052,HL 9/10,1.2498,LD 9/26,0.1446
126,WIL,OH,A-B,Dead,OH,RHIZO,AB,1.0992,HL 9/10,1.2106,LD 9/26,0.1114
128,USGS,SR,A,Live,SR,RHIZO,AB,1.0646,HL 9/8,1.2257,LD 9/30,0.1611
129,USGS,BB,B-C,Dead,BB,RHIZO,AB,1.0773,HL 9/10,1.193,LD 9/30,0.1157
130,WIL,HG,A,Dead,HG,RHIZO,AB,1.0662,HL 9/10,1.1882,LD 9/26,0.122
132,WIL,NG,B,Dead,NG,RHIZO,AB,1.076,HL 9/10,1.1911,LD 9/26,0.1151
133,WIL,NG,C,Live,NG,INT,AB,1.0701,HL 9/10,1.1493,LD 9/26,0.0792
136,USGS,HG,A,Live,HG,RHIZO,AB,1.0671,HL 9/8,1.1676,LD 9/30,0.1005
139,USGS,BB,A-B,Dead,BB,RHIZO,AB,1.0533,HL 9/10,1.105,LD 9/26,0.0517
141,WIL,OH,A,Dead,OH,INT,AB,1.0659,HL 9/10,1.1869,LD 9/26,0.121
143,USGS,BB,B,Dead,BB,INT,AB,1.1139,HL 9/10,1.1584,LD 9/26,0.0445
145,USGS,SR,A-B,Dead,SR,RHIZO,AB,1.0926,HL 9/10,1.2089,LD 9/30,0.1163
146,USGS,BB,A-B,Live,BB,RHIZO,AB,1.0784,HL 9/8,1.1515,LD 9/30,0.0731
147,USGS,NG,B-C,Live,NG,RHIZO,AB,1.073,HL 9/8,1.1795,LD 9/30,0.1065
148,WIL,NG,B,Live,NG,INT,AB,1.0763,HL 9/10,1.1539,LD 9/26,0.0776
152,WIL,SR,B,Live,SR,INT,AB,1.084,HL 9/10,1.1677,LD 9/26,0.0837
153,USGS,SR,A,Dead,SR,RHIZO,AB,1.0778,HL 9/10,1.1636,LD 9/26,0.0858
154,USGS,OH,B-C,Live,OH,RHIZO,AB,1.0812,HL 9/8,1.1996,LD 9/30,0.1184
155,WIL,BB,B,Live,BB,INT,AB,1.0783,HL NO DATE,1.1442,LD 9/30,0.0659
156,USGS,HG,C,Live,HG,RHIZO,AB,1.0732,HL 9/8,1.1989,LD 9/30,0.1257
157,WIL,OH,B,Live,OH,RHIZO,AB,1.0834,HL 9/8,1.1255,LD 9/30,0.0421
158,WIL,HG,A,Live,HG,RHIZO,AB,1.1052,HL 9/8,1.2446,LD 9/26,0.1394
159,USGS,SR,A,Dead,SR,INT,AB,1.1024,HL 9/10,1.1662,LD 9/30,0.0638
