ConeID,SeedID,SoilID,Replicate,Treatment,PopID,Rhizo.Int,Sample Type (AB= aboveground),Envelope Dry Mass (milligrams),Observer and date,Envelope with dry biomass (mg),Observer and date,dry.mass
194,WIL,HG,B-C,Live,HG,RHIZO,AB,1.1557,HL 9/8,1.2534,LD 9/30,0.0977
195,WIL,HG,B,Dead,HG,RHIZO,AB,1.0848,HL 9/10,1.1259,LD 9/30,0.0411
198,USGS,OH,C,Live,OH,RHIZO,AB,1.1024,HL 9/8,1.1895,LD 9/30,0.0871
199,USGS,BB,B-C,Live,BB,RHIZO,AB,1.0721,HL 9/8,1.1592,LD 9/30,0.0871
200,USGS,OH,C,Dead,OH,RHIZO,AB,1.0979,HL 9/10,1.1992,LD 9/30,0.1013
201,WIL,NG,C,Live,NG,RHIZO,AB,1.0901,HL 9/8,1.1941,LD 9/30,0.104
202,WIL,BB,C,Dead,BB,INT,AB,1.0794,HL 9/10,1.1695,LD 9/26,0.0901
203,WIL,SR,C,Dead,SR,RHIZO,AB,1.0864,HL 9/10,1.2091,LD 9/30,0.1227
204,WIL,BB,A-B,Dead,BB,RHIZO,AB,1.0777,HL 9/10,1.131,LD 9/30,0.0533
206,USGS,HG,A-B,Live,HG,RHIZO,AB,1.1095,HL 9/8,1.2349,LD 9/30,0.1254
208,USGS,NG,B,Dead,NG,INT,AB,1.0964,HL 9/10,1.1497,LD 9/30,0.0533
210,WIL,OH,C,Dead,OH,INT,AB,1.1024,HL 9/10,1.2058,LD 9/30,0.1034
211,WIL,BB,A,Live,BB,INT,AB,1.0924,HL 9/10,1.1595,LD 9/30,0.0671
212,WIL,SR,B,Dead,SR,INT,AB,1.0816,HL 9/10,1.1454,LD 9/30,0.0638
213,WIL,SR,C,Live,SR,RHIZO,AB,1.0754,HL 9/8,1.2273,LD 9/26,0.1519
214,WIL,OH,C,Dead,OH,RHIZO,AB,1.1002,HL 9/10,1.2001,LD 9/30,0.0999
216,USGS,SR,C,Live,SR,RHIZO,AB,1.1052,HL 9/8,1.2392,LD 9/30,0.134
217,WIL,NG,B,Live,NG,RHIZO,AB,1.0691,HL 9/8,1.214,LD 9/26,0.1449
219,WIL,BB,C,Live,BB,RHIZO,AB,1.0649,HL 9/8,1.1683,LD 9/26,0.1034
223,WIL,SR,B,Live,SR,RHIZO,AB,1.0802,HL 9/8,1.1354,LD 9/26,0.0552
224,USGS,NG,A-B,Live,NG,RHIZO,AB,1.0856,HL 9/8,1.2218,LD 9/30,0.1362
225,USGS,OH,A-B,Dead,OH,RHIZO,AB,1.0828,HL 9/10,1.2018,LD 9/30,0.119
226,USGS,HG,A,Dead,HG,INT,AB,1.1056,HL 9/10,1.1507,LD 9/30,0.0451
228,USGS,HG,B,Live,HG,INT,AB,1.0909,HL 9/10,1.1717,LD 9/30,0.0808
229,USGS,NG,C,Live,NG,RHIZO,AB,1.0905,HL 9/8,1.2408,LD 9/30,0.1503
230,USGS,NG,A,Live,NG,INT,AB,1.092,HL 9/10,1.159,LD 9/30,0.067
231,WIL,SR,B,Dead,SR,RHIZO,AB,1.102,HL 9/10,1.3046,LD 9/30,0.2026
232,WIL,OH,A,Dead,OH,RHIZO,AB,1.0578,HL 9/10,1.1236,LD 9/30,0.0658
233,USGS,SR,B,Dead,SR,INT,AB,1.0537,HL 9/10,1.1333,LD 9/30,0.0796
234,USGS,SR,B-C,Live,SR,RHIZO,AB,1.0731,HL 9/8,1.2136,LD 9/26,0.1405
235,WIL,HG,C,Live,HG,RHIZO,AB,1.0841,HL 9/8,1.1991,LD 9/26,0.115
237,USGS,NG,A,Dead,NG,RHIZO,AB,1.0726,HL 9/10,1.1695,LD 9/30,0.0969
238,WIL,OH,B-C,Live,OH,RHIZO,AB,1.0801,HL 9/8,1.1553,LD 9/26,0.0752
239,WIL,SR,C,Dead,SR,INT,AB,1.0813,HL 9/10,1.1331,LD 9/30,0.0518
240,USGS,SR,A-B,Live,SR,RHIZO,AB,1.0883,HL 9/8,1.2306,LD 9/30,0.1423
